Nome,Stato,Altitudine (m),Latitudine,Longitudine,Regione/Cantone/Bundesland,Provincia/Distretto,Tipo strada,Superficie,Rif. strada,Wikipedia
Im Gemärk - Passo Cimabanche,Italia,1530,46.620591,12.1839834,Veneto,Belluno,primary,asphalt,SS51,https://it.wikipedia.org/wiki/Passo_Cimabanche
Passo della Forcella,Italia,875,44.4626101,9.3354468,Liguria,Genova,primary,asphalt,SS586,https://it.wikipedia.org/wiki/Passo_della_Forcella_%28Liguria%29
Genna e Frongia,Italia,384,39.5317201,8.6116748,Sardegna,Sud Sardegna,primary,asphalt,SS126,
Genna Sartania,Italia,465,39.5129911,8.5287678,Sardegna,Sud Sardegna,tertiary;track,asphalt,SP66,
Jü de Börz - Würzjoch - Passo delle Erbe,Italia,1987,46.6751109,11.8143123,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,service;tertiary,asphalt,LS/SP29,https://de.wikipedia.org/wiki/W%C3%BCrzjoch
La Chiesola,Italia,1633,42.2388893,13.365242,Abruzzo,L'Aquila,primary;track,asphalt,SS696,
Colle della Croce Nera,Italia,859,45.0933784,7.3390671,Piemonte,Torino,service;unclassified,asphalt,SP188,
Valico di Strambinello,Italia,457,45.4217223,7.7568614,Piemonte,Torino,tertiary,asphalt,SP64,
Passo di Santa Croce,Italia,359,45.3495564,7.8409078,Piemonte,Torino,secondary,asphalt,,
Sedda ru Cuntrasto,Italia,1122,37.8506776,14.3976631,Sicilia,Messina,primary,asphalt,SS117,https://it.wikipedia.org/wiki/Colle_del_Contrasto
Sela de Culac,Italia,2018,46.5384678,11.7833966,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,primary,asphalt,SS243,
Genna Croce,Italia,910,40.1122944,9.5147047,Sardegna,Nuoro,primary;unclassified,asphalt,SS125,
Ghenna Sìlana,Italia,1002,40.1585378,9.5078599,Sardegna,Nuoro,primary,asphalt,SS125,
Passo del Casello,Italia,1055,45.6833149,10.8627393,Veneto,Verona,secondary;track,asphalt,SP8,
Passo dell'Incrociati,Italia,506,43.2941577,11.1837919,Toscana,Siena,tertiary,asphalt,SP52,
Passo del Santellone,Italia,873,45.7566029,10.2887513,Lombardia,Brescia,secondary,asphalt,SP50;SP53,
Colletto di Rossana,Italia,617,44.5151395,7.4405201,Piemonte,Cuneo,tertiary,asphalt,SP46,
Staller Sattel - Passo di Stalle,Italia,2052,46.887716,12.1996903,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,secondary,asphalt,L25;LS/SP44,https://de.wikipedia.org/wiki/Staller_Sattel
Passo di Sant'Antonio,Italia,1476,46.5720031,12.482356,Veneto,Belluno,secondary,asphalt,SP532,https://it.wikipedia.org/wiki/Passo_di_Sant%27Antonio
Sella Somdogna / Siele Sompdogne,Italia,1400,46.4621875,13.4487261,Friuli-Venezia Giulia,Udine,unclassified,asphalt,,
Valico Taglio Grosso,Italia,586,45.4704378,7.9837502,Piemonte,Biella,primary,asphalt,,
Sapel da Mur,Italia,294,45.3925837,8.0605493,Piemonte,Vercelli,secondary,asphalt,SP41,
Passo del Branchetto,Italia,1591,45.6790494,11.0701861,Veneto,Verona,secondary,asphalt,SP6,
Passo Gioiche,Italia,1148,45.6298311,11.1648944,Veneto,Verona,tertiary;track,asphalt,,
Sella di Fonte Tettone,Italia,1650,42.1704798,14.1150473,Abruzzo,Pescara,tertiary,asphalt,SP64,
Passo della Pianetta,Italia,1397,45.802121,11.479562,Veneto,Vicenza,track;unclassified,asphalt,,
Passo della Presolana,Italia,1297,45.9292123,10.0990239,Lombardia,Bergamo,primary,asphalt,SS671,https://it.wikipedia.org/wiki/Passo_della_Presolana
Valico di Barrea,Italia,1171,41.7412577,13.9925398,Abruzzo,L'Aquila,primary,asphalt,SS83,
Bocca dei Giù,Italia,1469,45.8072876,10.5886936,Trentino-Alto Adige/Südtirol,Trento,track,asphalt,,
Passo del Lume Spento,Italia,629,43.0331229,11.4809085,Toscana,Siena,secondary,asphalt,SP14,https://it.wikipedia.org/wiki/Passo_del_Lume_Spento
Portella Pandolfo,Italia,559,37.8767644,15.2762226,Sicilia,Messina,unclassified,asphalt,,
Portella del Giasso,Italia,671,37.8795195,15.266331,Sicilia,Messina,unclassified,asphalt,,
Sella la Rezza,Italia,430,45.0999552,7.8446645,Piemonte,Torino,secondary;tertiary,asphalt,,https://it.wikipedia.org/wiki/Sella_la_Rezza
Passo del Lucese,Italia,558,43.9364847,10.3821737,Toscana,Lucca,unclassified,asphalt,,
Bocchetta d'Orimento,Italia,1275,45.9463457,9.0425944,Lombardia,Como,residential;unclassified,asphalt,,
Colfiorito,Italia,826,43.003027,12.8592522,Umbria,Perugia,secondary,asphalt,SR77,
Vetta le Croci,Italia,518,43.8659596,11.3418292,Toscana,Firenze,primary,asphalt,SR302,https://it.wikipedia.org/wiki/Vetta_le_Croci
Passo di Agueglio,Italia,1140,46.0059276,9.322553,Lombardia,Lecco,tertiary,asphalt,SS753,
Passo del Vivione,Italia,1828,46.0365862,10.1992691,Lombardia,Bergamo,tertiary;track,asphalt,SS294,https://de.wikipedia.org/wiki/Passo_del_Vivione
Passo dell'Alberaccio,Italia,541,43.86374,11.3479942,Toscana,Firenze,secondary;service;track,asphalt,SP84,
Passo della Crocina,Italia,672,43.5735901,11.7379526,Toscana,Arezzo,secondary;track,asphalt,SP59,
